0,CombatZoneResize,133,251,508,391,TLResume,,,
0,GasterBlaster,0,0,0,41,$HeartY,0,0,0.4
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.4
0.1,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,41,$HeartY,0,0,0.4
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.4
2.3,CombatZoneResizeinstant,241,226,406,391,,,,
0,HeartTeleport,406,226,,,,,,
0,GasterBlaster,1,0,0,260,240,0,0,0.4
0,GasterBlaster,1,0,0,350,240,90,0,0.4
0,GasterBlaster,1,0,0,350,370,360,0,0.4
0,GasterBlaster,1,0,0,260,370,270,0,0.4
0,GasterBlaster,1,0,0,260,240,45,0,0.4
0,GasterBlaster,1,0,0,350,240,135,0,0.4
0,GasterBlaster,1,0,0,350,370,225,0,0.4
0,GasterBlaster,1,0,0,260,370,315,0,0.4
,,,,,,,,,
2,EndAttack,,,,,,,,
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
